x,y,z,c
-7.727459,1.952011,-2.454289,0.000000
5.881968,-4.157516,0.233398,0.000000
5.757871,-4.922018,-1.767645,0.000000
-0.491008,-5.848307,-4.691366,0.000000
-1.169347,-6.678919,-0.975362,0.000000
-0.544878,-5.946601,-4.447778,0.000000
3.980192,-5.125265,-1.757473,0.000000
-0.644126,-6.505079,-0.906707,0.000000
5.336700,-4.533905,-2.014459,0.000000
3.694040,-0.554694,-3.034272,0.000000
3.076827,-4.867223,-2.769294,0.000000
4.756591,-4.531944,-2.028814,0.000000
2.197467,-0.142074,-5.468335,0.000000
5.369014,-4.571533,-1.949839,0.000000
-1.599821,-2.874649,1.990302,0.000000
1.258280,-6.254986,0.942951,0.000000
4.145557,-4.972586,-1.967793,0.000000
1.976250,-0.995434,-0.267585,0.000000
5.058453,-4.774288,-1.980898,0.000000
-0.458058,-6.124321,-0.714845,0.000000
-1.487265,-3.881395,1.608159,0.000000
-0.421752,-5.892251,-0.666116,0.000000
-1.465931,-3.264548,1.654484,0.000000
-1.693656,-6.411463,-0.636715,0.000000
6.119862,-4.121849,-1.989675,0.000000
5.405871,-4.435010,-2.085931,0.000000
-1.608696,-6.496210,-0.738603,0.000000
5.904525,-4.020889,-2.556966,0.000000
5.982579,-4.032275,-2.433156,0.000000
-0.727738,-3.556328,1.557850,0.000000
6.095989,-4.403331,-1.764002,0.000000
-1.510624,-3.262323,1.556734,0.000000
-1.437032,-6.616931,-0.636354,0.000000
3.408428,-0.239201,-3.444742,0.000000
-0.559951,-6.690332,-1.393464,0.000000
-0.014338,-6.128726,-1.283784,0.000000
5.076733,-4.880770,-1.938618,0.000000
-0.707662,-6.736555,-1.107696,0.000000
5.970303,-3.898142,-2.669110,0.000000
-0.636227,-4.011575,1.629192,0.000000
-0.446297,-5.898462,-0.661058,0.000000
-0.485282,-6.966717,0.464052,0.000000
6.115765,-4.036644,-2.192682,0.000000
2.125223,0.857691,-4.772603,0.000000
-1.607744,-3.606411,1.580472,0.000000
5.894514,-4.063790,-2.477892,0.000000
-0.050716,-7.131040,1.099467,0.000000
-0.534661,-6.850199,0.214528,0.000000
5.737006,-4.277659,-2.333549,0.000000
2.548371,-0.538428,-5.076973,0.000000
-7.730322,1.956566,-2.452718,0.000000
-7.731060,1.955060,-2.452266,0.000000
5.031586,-4.542702,-2.037885,0.000000
-1.140202,-3.676611,1.571846,0.000000
5.642657,-3.434598,-0.844547,0.000000
6.106369,-3.771247,-2.744644,0.000000
-0.553525,-6.844731,0.205299,0.000000
2.697060,-0.414374,-6.169264,0.000000
3.990406,-5.126296,-1.874678,0.000000
-4.619999,0.748366,-4.406251,0.000000
2.163169,-0.096983,-5.753414,0.000000
-0.539399,-5.930993,-4.501530,0.000000
2.285776,-0.187219,-5.304394,0.000000
6.015843,-3.953819,-2.513345,0.000000
2.713513,-0.047287,-5.923391,0.000000
-7.727473,1.952042,-2.454272,0.000000
-7.692882,2.035636,-2.487309,0.000000
5.984555,-4.026808,-2.441428,0.000000
